"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Molinia caerulea (L.) Moench",97.4,3,85.7,2.2
"Najas minor All.",97.4,4,90.9,2.2
"Potentilla argentea L.",97.4,3,73.5,68.4
"Atriplex prostrata Boucher ex DC.",97.3,4,83.2,22.4
"Carex caryophyllea Latourr.",97.3,2,84.7,82.2
"Cytinus hypocistis (L.) L.",97.3,2,84.7,82.6
"Orobanche minor Sm.",97.3,2,91.3,69.2
"Rhamnus alaternus L. subsp. alaternus",97.3,4,80.3,0.1
"Schoenoplectus tabernaemontani (C.C.Gmel.) Palla",97.3,5,77.2,0.3
"Sporobolus indicus (L.) R.Br.",97.3,2,84.4,82.6
"Carex distachya Desf.",97.1,2,85.7,79.7
"Filago pyramidata L.",97.1,2,85.7,79.7
"Olea europaea L. subsp. europaea",97.1,2,85.7,79.7
"Peplis portula L.",97.1,4,84.7,29.4
"Coleostephus myconis (L.) Cass. ex Rchb.f.",97,4,84.7,2.2
"Festuca fasciculata Forssk.",97,4,81.9,23.2
"Sedum sexangulare L.",97,3,84.8,2.2
"Sagittaria sagittifolia L.",96.9,8,63.4,2.2
